帧ID 时间戳 目标ID 距离 角度 速度
126 1695523797.547513 57 35.7 -14.3 -5.23
127 1695523797.547513 58 68.5 -1.2 -5.31
128 1695523797.547513 61 80.8 4.4 -5.3
129 1695523797.547513 63 74.4 5.4 -5.32
130 1695523797.748178 5 61.8 0.6 -5.2
131 1695523797.748178 8 91.1 3.5 -5.37
132 1695523797.748178 10 77.9 -3.6 -5.38
133 1695523797.748178 12 23.1 -1.4 1.38
134 1695523797.748178 13 42.3 4.5 -5.36
135 1695523797.748178 14 88.9 -2.4 -5.24
136 1695523797.748178 17 61.8 7.1 -5.39
137 1695523797.748178 21 52 2.9 -5.33
138 1695523797.748178 27 103.2 -4.9 -5.35
139 1695523797.748178 29 78.6 0.8 -5.23
140 1695523797.748178 30 56.8 -9.5 1.07
141 1695523797.748178 31 164 -8.5 -5.12
142 1695523797.748178 32 117.8 -5.3 -5.34
143 1695523797.748178 34 102 -3.8 -5.36
144 1695523797.748178 35 33 8.9 -5.28
145 1695523797.748178 37 24.4 13.6 -5.16
146 1695523797.748178 39 52 9.9 -5.32
147 1695523797.748178 40 10.9 -42.1 -4.31
148 1695523797.748178 41 123.2 -6.1 -5.23
149 1695523797.748178 43 54.6 -1.6 10.21
150 1695523797.748178 46 10 46.6 -4.02
151 1695523797.748178 49 73.5 3.3 -5.34
152 1695523797.748178 50 16.8 23.6 -4.95
153 1695523797.748178 51 43.1 -13.1 -5.32
154 1695523797.748178 53 26.1 -18.1 -5.12
155 1695523797.748178 54 17.3 -27.1 -4.87
156 1695523797.748178 57 34.1 -14.5 -5.29
157 1695523797.748178 58 67.6 -1.8 -5.37
158 1695523797.748178 60 56.7 -6.6 1
159 1695523797.748178 61 79.6 4.3 -5.32
160 1695523797.748178 62 176.3 -6.7 -5.34
161 1695523797.748178 63 73.3 5.4 -5.34
162 1695523797.950322 5 60.8 0.8 -5.26
163 1695523797.950322 8 90.1 3.3 -5.38
164 1695523797.950322 12 23.4 -1.9 1.3
165 1695523797.950322 13 41.3 4.7 -5.42
166 1695523797.950322 14 88 -2.4 -5.3
167 1695523797.950322 17 60.8 7.2 -5.43
168 1695523797.950322 21 50.6 3.2 -5.37
169 1695523797.950322 24 173.6 5.1 -5.35
170 1695523797.950322 27 102.3 -4.9 -5.41
171 1695523797.950322 28 173.9 1.5 -5.37
172 1695523797.950322 29 77.5 0.2 -5.27
173 1695523797.950322 30 57.1 -9.9 1.03
174 1695523797.950322 31 163.1 -8.4 -5.18
175 1695523797.950322 32 116.4 -5.4 -5.39
176 1695523797.950322 34 100.7 -3.8 -5.42
177 1695523797.950322 35 31.7 8.9 -5.31
178 1695523797.950322 36 49 10.1 -5.33
179 1695523797.950322 37 23.3 14.4 -5.19
180 1695523797.950322 40 10.1 -48.1 -4.16
181 1695523797.950322 41 122.3 -6.2 -5.29
182 1695523797.950322 43 56.6 -1.6 10.15
183 1695523797.950322 44 165.4 -7.4 -5.34
184 1695523797.950322 46 9.3 51.1 -3.88
185 1695523797.950322 50 15.7 26 -4.94
186 1695523797.950322 51 41.8 -13.1 -5.37
187 1695523797.950322 53 24.5 -18.9 -5.12
188 1695523797.950322 54 15.8 -29 -4.84
189 1695523797.950322 55 74.9 -2.7 -5.4
190 1695523797.950322 57 32.7 -15.5 -5.3
191 1695523797.950322 58 66.6 -1.4 -5.44
192 1695523797.950322 61 78.6 4.5 -5.34
193 1695523797.950322 63 72.1 5.4 -5.39
194 1695523798.151190 0 47.1 -10.9 -5.35
195 1695523798.151190 4 106.2 8.1 -5.38
196 1695523798.151190 5 59.8 1.1 -5.29
197 1695523798.151190 6 173.2 -7.7 -5.39
198 1695523798.151190 7 173 3.3 -5.38
199 1695523798.151190 12 23.6 -2.1 1.24
200 1695523798.151190 13 39.9 5.1 -5.41
201 1695523798.151190 14 87 -2.6 -5.31
202 1695523798.151190 17 59.8 7.4 -5.42
203 1695523798.151190 19 11.3 36.6 -4.24
204 1695523798.151190 20 81.7 4.4 -5.41
205 1695523798.151190 21 48.9 3.1 -5.41
206 1695523798.151190 22 134.2 -6.6 -5.41
207 1695523798.151190 23 18 29.8 -4.61
208 1695523798.151190 27 101.3 -5.1 -5.41
209 1695523798.151190 29 76.5 -0.1 -5.31
210 1695523798.151190 30 57.2 -10.3 1
211 1695523798.151190 31 161.9 -8.2 -5.31
212 1695523798.151190 32 115.4 -5.5 -5.45
213 1695523798.151190 34 99.7 -4 -5.44
214 1695523798.151190 35 30.7 9.6 -5.33
215 1695523798.151190 36 48.1 9.6 -5.41
216 1695523798.151190 37 22.1 15.6 -5.21
217 1695523798.151190 40 9.3 -51.2 -3.9
218 1695523798.151190 41 121.4 -6.4 -5.32
219 1695523798.151190 43 58.7 -2.2 10.09
220 1695523798.151190 50 14.7 29.8 -4.89
221 1695523798.151190 51 40.1 -13.7 -5.35
222 1695523798.151190 52 81.7 -5.2 -5.41
223 1695523798.151190 53 23.1 -20.6 -5.13
224 1695523798.151190 54 14.2 -31.6 -4.77
225 1695523798.151190 57 30.9 -15.8 -5.28
226 1695523798.151190 58 65.6 -1.6 -5.47
227 1695523798.361367 12 23.8 -2.1 1.18
228 1695523798.361367 13 38.5 5.5 -5.39
229 1695523798.361367 14 85.4 -2.6 -5.34
230 1695523798.361367 15 53 5.9 -5.41
231 1695523798.361367 17 58.8 7.5 -5.42
232 1695523798.361367 21 47.9 2.9 -5.41
233 1695523798.361367 22 132.9 -6.6 -5.41
234 1695523798.361367 27 100.3 -5.4 -5.41
235 1695523798.361367 29 75.3 0.1 -5.32
236 1695523798.361367 30 57.4 -9.7 0.96
237 1695523798.361367 31 160.9 -8.3 -5.37
238 1695523798.361367 32 114.2 -5.5 -5.45
239 1695523798.361367 33 76.7 -3.6 -5.41
240 1695523798.361367 34 98.2 -3.7 -5.44
241 1695523798.361367 35 29.6 9.6 -5.34
242 1695523798.361367 36 47.2 9.3 -5.41
243 1695523798.361367 37 20.5 17.3 -5.21
244 1695523798.361367 38 14.8 29.6 -4.83
245 1695523798.361367 41 120.3 -6.6 -5.35
246 1695523798.361367 42 58.9 0.8 -5.41
247 1695523798.361367 43 60.7 -2.4 10.03
248 1695523798.361367 45 99.5 8.1 -5.37
249 1695523798.361367 50 13.5 38.6 -4.51
250 1695523798.361367 51 38.4 -13.8 -5.34
251 1695523798.361367 53 21.5 -21.7 -5.13
252 1695523798.361367 54 12.8 -36.8 -4.7
253 1695523798.361367 55 69.3 5.2 -5.43
254 1695523798.361367 56 175.9 -7.7 -5.41
255 1695523798.361367 57 29.1 -17.2 -5.28
256 1695523798.361367 58 64.6 -1 -5.45
257 1695523798.361367 63 82.1 3.3 -5.42
258 1695523798.562273 7 170 -8.6 -5.44
259 1695523798.562273 11 15.3 27.4 -4.83
260 1695523798.562273 12 24 -2 1.12
261 1695523798.562273 13 37.6 5.9 -5.4
262 1695523798.562273 14 84.2 -2.4 -5.36
263 1695523798.562273 17 57.9 7.5 -5.42
264 1695523798.562273 18 75.9 3.4 -5.44
265 1695523798.562273 21 47 3.2 -5.41
266 1695523798.562273 22 131.7 -6.6 -5.41
267 1695523798.562273 23 46.1 -13.9 -5.35
268 1695523798.562273 29 74.3 0.7 -5.35
269 1695523798.562273 30 57.6 -10.2 0.93
270 1695523798.562273 31 159.9 -8.4 -5.44
271 1695523798.562273 32 113.2 -5.4 -5.45
272 1695523798.562273 34 97.2 -4 -5.44
273 1695523798.562273 35 28.4 10.3 -5.33
274 1695523798.562273 36 46.3 9.2 -5.41
275 1695523798.562273 37 19.5 18.5 -5.23
276 1695523798.562273 41 119.2 -6.4 -5.38
277 1695523798.562273 42 57.9 0.8 -5.43
278 1695523798.562273 43 62.6 -2.8 9.97
279 1695523798.562273 45 98.2 8.2 -5.37
280 1695523798.562273 50 12.4 38.3 -4.26
281 1695523798.562273 51 36.6 -14.2 -5.34
282 1695523798.562273 53 19.8 -24.3 -5.12
283 1695523798.562273 54 11.6 -39.9 -4.58
284 1695523798.562273 55 68.3 4.9 -5.45
285 1695523798.562273 57 27.3 -17.9 -5.28
286 1695523798.562273 58 63.6 -0.9 -5.45
287 1695523798.774562 1 77.9 4.8 -5.46
288 1695523798.774562 3 91.7 2.6 -5.44
289 1695523798.774562 4 161.6 -7.2 -5.45
290 1695523798.774562 11 13.9 28.6 -4.77
291 1695523798.774562 12 24.2 -1.9 1.11
292 1695523798.774562 13 36.3 7.6 -5.41
293 1695523798.774562 14 83.2 -2.5 -5.38
294 1695523798.774562 16 53.9 -12.1 -5.43
295 1695523798.774562 17 56.8 7.6 -5.43
296 1695523798.774562 19 61.5 4.2 -5.45
297 1695523798.774562 20 91.7 9 -5.43
298 1695523798.774562 21 46 2.9 -5.47
299 1695523798.774562 26 66.9 -3.4 -5.46
300 1695523798.774562 29 73.3 0.5 -5.36
301 1695523798.774562 30 57.8 -10.6 0.9
302 1695523798.774562 31 158.9 -8.4 -5.5
303 1695523798.774562 32 112.1 -5.6 -5.45
304 1695523798.774562 34 96.3 -4.6 -5.44
305 1695523798.774562 35 26.9 11.3 -5.34
306 1695523798.774562 36 45.3 8.8 -5.41
307 1695523798.774562 37 18.3 20 -5.22
308 1695523798.774562 41 118.1 -6.6 -5.41
309 1695523798.774562 42 56.8 0.9 -5.43
310 1695523798.774562 43 64.6 -2.7 9.91
311 1695523798.774562 47 130.8 -6.7 -5.46
312 1695523798.774562 49 91.7 -5.1 -5.44
313 1695523798.774562 50 11.3 43.1 -3.86
314 1695523798.774562 51 34.8 -14.6 -5.34
315 1695523798.774562 53 18.1 -25.7 -5.09
316 1695523798.774562 54 10.7 -45.7 -4.45
317 1695523798.774562 55 67.1 5.2 -5.45
318 1695523798.774562 57 25.8 -18.6 -5.28
319 1695523798.774562 58 62.4 0.1 -5.45
320 1695523798.774562 62 44.1 5 -5.45
321 1695523798.976993 2 74.1 -3.3 -5.48
322 1695523798.976993 4 160.5 -7.2 -5.45
323 1695523798.976993 9 36.1 -14.7 -5.41
324 1695523798.976993 11 13 32.9 -4.66
325 1695523798.976993 12 24.4 -1.7 1.05
326 1695523798.976993 13 35 7.5 -5.41
327 1695523798.976993 14 82.2 -2.6 -5.41
328 1695523798.976993 15 57.9 -6.5 0.81
329 1695523798.976993 16 52.8 -12.4 -5.44
330 1695523798.976993 17 55.8 7.7 -5.49
331 1695523798.976993 21 44.2 4 -5.48
332 1695523798.976993 27 97.6 8.8 -5.46
333 1695523798.976993 29 72.3 0.9 -5.37
334 1695523798.976993 30 57.9 -9.5 0.8
335 1695523798.976993 31 157.9 -8.6 -5.53
336 1695523798.976993 32 110.9 -5.5 -5.47
337 1695523798.976993 34 95.2 -4.6 -5.45
338 1695523798.976993 35 25.7 12.1 -5.36
339 1695523798.976993 36 43.9 9.3 -5.48
340 1695523798.976993 37 17.4 20.7 -5.22
341 1695523798.976993 38 47.6 -14.1 -5.43
342 1695523798.976993 41 117.1 -6.4 -5.45
343 1695523798.976993 42 55.8 1.1 -5.49
344 1695523798.976993 43 66.6 -2.7 9.84
345 1695523798.976993 44 74.1 4.4 -5.48
346 1695523798.976993 46 170.6 -8 -5.46
347 1695523798.976993 48 11.4 34.2 -40.28
348 1695523798.976993 50 10.6 51 -3.73
349 1695523798.976993 51 33.2 -15 -5.35
350 1695523798.976993 53 16.8 -27.1 -5.09
351 1695523798.976993 54 9.8 -48.4 -4.32
352 1695523798.976993 55 66 5.4 -5.49
353 1695523798.976993 57 24.1 -19.5 -5.27
354 1695523798.976993 58 61.4 -0.1 -5.45
355 1695523799.227181 4 158.7 -7.4 -5.52
356 1695523799.227181 11 11.2 38.2 -4.33
357 1695523799.227181 12 24.7 -2 0.98
358 1695523799.227181 13 33.6 8.9 -5.41
359 1695523799.227181 14 81 -2.4 -5.48
360 1695523799.227181 16 46.2 -13.2 -5.43
361 1695523799.227181 17 54.1 8.1 -5.51
362 1695523799.227181 20 16.6 33.9 -4.53
363 1695523799.227181 21 42.5 4.3 -5.48
364 1695523799.227181 22 68.6 -1.9 -5.53
365 1695523799.227181 29 70.8 0.4 -5.41
366 1695523799.227181 30 58.1 -10.1 0.73
367 1695523799.227181 31 156.5 -8.8 -5.6
368 1695523799.227181 32 109.2 -5.3 -5.55
369 1695523799.227181 34 93.9 -5.1 -5.55
370 1695523799.227181 35 24.3 13.3 -5.41
371 1695523799.227181 36 42.4 9.8 -5.55
372 1695523799.227181 37 16 22 -5.19
373 1695523799.227181 41 115.7 -6.3 -5.52
374 1695523799.227181 42 54.5 1 -5.55
375 1695523799.227181 43 69.1 -2.8 9.78
376 1695523799.227181 46 169.4 -8.5 -5.47
377 1695523799.227181 51 31.6 -16.2 -5.38
378 1695523799.227181 53 15.5 -28.9 -4.97
379 1695523799.227181 55 64.7 5.6 -5.57
380 1695523799.227181 57 21.9 -21.1 -5.23
381 1695523799.227181 62 72.6 5.1 -5.54
382 1695523799.439521 4 157 -7.9 -5.55
383 1695523799.439521 11 10 46.6 -3.91
384 1695523799.439521 12 24.9 -1.9 0.98
385 1695523799.439521 13 31.7 8.7 -5.43
386 1695523799.439521 14 79.8 -2.7 -5.57
387 1695523799.439521 16 43.9 -13.2 -5.48
388 1695523799.439521 21 41.1 4.3 -5.56
389 1695523799.439521 24 64.8 -0.4 -5.57
390 1695523799.439521 25 167.5 -6.8 -5.56
391 1695523799.439521 27 47.7 9.6 -5.55
392 1695523799.439521 29 69.1 -0.1 -5.44
393 1695523799.439521 30 58.2 -9.8 0.67
394 1695523799.439521 32 107.8 -5.5 -5.59
395 1695523799.439521 34 92.6 -5.2 -5.62
396 1695523799.439521 35 22.9 14.8 -5.39
397 1695523799.439521 37 14.8 29.9 -5.12
398 1695523799.439521 41 114.4 -6.4 -5.6
399 1695523799.439521 42 52.6 1.4 -5.55
400 1695523799.439521 43 71.5 -3.2 9.73
401 1695523799.439521 44 86.5 3.1 -5.56
402 1695523799.439521 46 168 -8.9 -5.48
403 1695523799.439521 48 37.2 2.8 -5.48
404 1695523799.439521 51 29.7 -17 -5.39
405 1695523799.439521 53 14 -31.4 -4.77
406 1695523799.439521 57 19.8 -24.4 -5.22
407 1695523799.439521 58 37.2 -9.4 -5.48
408 1695523799.640239 0 81.4 0.7 -5.58
409 1695523799.640239 4 155.9 -7.9 -5.55
410 1695523799.640239 5 169.3 -6.9 -5.57
411 1695523799.640239 10 36.3 -34.4 -4.79
412 1695523799.640239 11 9.3 49.9 -3.9
413 1695523799.640239 12 25.2 -2.1 0.97
