帧ID 时间戳 目标ID 距离 角度 速度
553 1695523800.507997 54 58 0.9 -5.69
554 1695523800.507997 55 54.3 -14.2 -5.59
555 1695523800.507997 56 166.4 -7.2 -5.7
556 1695523800.507997 59 80.7 3.9 -5.67
557 1695523800.709564 4 149.8 -8.1 -5.67
558 1695523800.709564 5 55.8 -12.6 -5.66
559 1695523800.709564 6 24.1 -19.7 -5.52
560 1695523800.709564 7 10.2 45.2 -4.26
561 1695523800.709564 9 36.2 -14.2 -5.62
562 1695523800.709564 10 110.3 -5.4 -5.76
563 1695523800.709564 12 26.3 -2 0.32
564 1695523800.709564 13 21.5 14.9 -5.46
565 1695523800.709564 14 73.3 -0.7 -5.67
566 1695523800.709564 16 29 -17.1 -5.6
567 1695523800.709564 17 84.3 -6.1 10.13
568 1695523800.709564 21 31.7 8.1 -5.62
569 1695523800.709564 22 10.1 35.6 -43.06
570 1695523800.709564 24 44.6 3.9 -5.7
571 1695523800.709564 26 79.9 -4.5 -5.7
572 1695523800.709564 27 160.8 -6.7 -5.7
573 1695523800.709564 28 31.4 -38.9 -4.66
574 1695523800.709564 30 58.9 -9.7 0.57
575 1695523800.709564 32 100.6 -5.1 -5.75
576 1695523800.709564 35 14.6 22.9 -5.25
577 1695523800.709564 36 45.8 -13.5 -5.65
578 1695523800.709564 43 84.1 -3.1 10.27
579 1695523800.709564 46 175.8 4.9 -5.7
580 1695523800.709564 48 119.5 -5.2 -5.7
581 1695523800.709564 51 13.2 -33.6 -5.07
582 1695523800.709564 52 86.6 -3.2 -5.72
583 1695523800.709564 54 56.9 0.8 -5.73
584 1695523800.709564 56 165.1 -7.1 -5.71
585 1695523800.709564 59 79.6 4.1 -5.67
586 1695523800.910608 2 79 -3.8 -5.73
587 1695523800.910608 4 148.6 -8.3 -5.69
588 1695523800.910608 5 54.3 -12.4 -5.7
589 1695523800.910608 6 22.2 -19.9 -5.51
590 1695523800.910608 8 39.4 -13.8 -5.63
591 1695523800.910608 10 109.2 -5.3 -5.76
592 1695523800.910608 11 175.6 -3.7 -5.72
593 1695523800.910608 12 26.4 -2 0.19
594 1695523800.910608 13 20.1 16.5 -5.48
595 1695523800.910608 14 72 -0.4 -5.73
596 1695523800.910608 16 28.1 -17.4 -5.6
597 1695523800.910608 17 86.3 -5.7 10.15
598 1695523800.910608 18 87.9 -5.4 -5.74
599 1695523800.910608 20 16.7 -27 -5.31
600 1695523800.910608 21 30.7 9.2 -5.66
601 1695523800.910608 24 43.2 4.1 -5.72
602 1695523800.910608 30 59 -9.7 0.52
603 1695523800.910608 31 168.7 -7.6 -5.71
604 1695523800.910608 32 99.6 -4.9 -5.75
605 1695523800.910608 34 175.8 1.3 -5.72
606 1695523800.910608 35 13.5 25.9 -5.23
607 1695523800.910608 36 44.6 -13.4 -5.65
608 1695523800.910608 37 37 -14.6 -5.62
609 1695523800.910608 38 90.7 -1.9 -5.73
610 1695523800.910608 41 10.1 44.2 -4.35
611 1695523800.910608 42 175.8 -8.2 -5.72
612 1695523800.910608 43 86.2 -3 10.36
613 1695523800.910608 44 37 -8.9 -5.62
614 1695523800.910608 48 118.4 -5.1 -5.73
615 1695523800.910608 51 11.9 -36.9 -4.98
616 1695523800.910608 52 84.7 -3 -5.72
617 1695523800.910608 53 90.7 -6.6 -5.73
618 1695523800.910608 54 55.6 1.3 -5.73
619 1695523800.910608 55 67.9 5.6 -5.73
620 1695523800.910608 56 163.4 -6.7 -5.71
621 1695523800.910608 58 87.9 -10.5 -5.74
622 1695523800.910608 61 39.5 -8.9 -5.66
623 1695523800.910608 62 66.2 -0.8 -5.72
624 1695523801.111728 0 168.4 -6.7 -5.74
625 1695523801.111728 1 29.5 -40.2 -4.48
626 1695523801.111728 3 33.3 -10.4 -5.62
627 1695523801.111728 4 147.4 -8.6 -5.75
628 1695523801.111728 5 52.6 -11.9 -5.7
629 1695523801.111728 6 20.4 -22.3 -5.47
630 1695523801.111728 8 35.3 -14.9 -5.63
631 1695523801.111728 9 56.1 12.1 -5.73
632 1695523801.111728 10 108 -5.2 -5.76
633 1695523801.111728 12 26.7 -2 0.09
634 1695523801.111728 13 18.8 18.3 -5.47
635 1695523801.111728 14 71 -0.4 -5.8
636 1695523801.111728 16 26.4 -18.2 -5.59
637 1695523801.111728 17 88.4 -6.6 10.18
638 1695523801.111728 19 55.8 8 -5.73
639 1695523801.111728 21 29.5 8.3 -5.65
640 1695523801.111728 22 63.6 -0.2 -5.74
641 1695523801.111728 24 41 4.6 -5.72
642 1695523801.111728 26 58.8 -11.9 -5.71
643 1695523801.111728 27 147 -5.7 -5.72
644 1695523801.111728 28 63.6 6.7 -5.74
645 1695523801.111728 30 59.1 -9.8 0.45
646 1695523801.111728 32 98.4 -4.3 -5.75
647 1695523801.111728 35 12.3 29.3 -5.2
648 1695523801.111728 36 42.7 -13.4 -5.65
649 1695523801.111728 41 8.9 50.9 -4.03
650 1695523801.111728 47 117.6 6.9 -5.71
651 1695523801.111728 48 117.3 -4.9 -5.79
652 1695523801.111728 51 11 -41.7 -4.97
653 1695523801.111728 52 82.9 -2.6 -5.77
654 1695523801.111728 54 54.6 1.6 -5.73
655 1695523801.111728 56 161.5 -6.1 -5.76
656 1695523801.313077 0 167.4 -7.1 -5.75
657 1695523801.313077 2 37.2 -10.2 -5.71
658 1695523801.313077 4 146.2 -8.7 -5.78
659 1695523801.313077 5 50.7 -12.8 -5.7
660 1695523801.313077 6 19 -23.6 -5.45
661 1695523801.313077 8 34.3 -15.6 -5.69
662 1695523801.313077 9 55 13.5 -5.74
663 1695523801.313077 10 106.8 -5.2 -5.77
664 1695523801.313077 12 26.8 -2.1 0.02
665 1695523801.313077 13 17.3 20.6 -5.45
666 1695523801.313077 14 70 -0.5 -5.8
667 1695523801.313077 15 90.5 -1.4 10.23
668 1695523801.313077 16 25.4 -19.4 -5.59
669 1695523801.313077 17 90.4 -5.8 10.2
670 1695523801.313077 19 54.8 8 -5.73
671 1695523801.313077 21 28.3 10.7 -5.69
672 1695523801.313077 23 150.9 -9.4 -5.73
673 1695523801.313077 24 38.5 5.2 -5.72
674 1695523801.313077 30 59.2 -9.7 0.42
675 1695523801.313077 31 63 -1.5 -5.77
676 1695523801.313077 32 97.3 -4.4 -5.75
677 1695523801.313077 35 10.9 34.8 -4.73
678 1695523801.313077 36 34.3 -15.7 -5.66
679 1695523801.313077 37 159.6 -5.1 -5.77
680 1695523801.313077 38 25 13.4 -5.57
681 1695523801.313077 47 116.3 7 -5.73
682 1695523801.313077 50 30.1 6.6 -5.63
683 1695523801.313077 51 10.1 -47.6 -4.95
684 1695523801.313077 52 81.5 -2.8 -5.83
685 1695523801.313077 54 53.5 1.9 -5.73
686 1695523801.313077 56 160 -6.4 -5.77
687 1695523801.313077 59 14.3 -30 -5.2
688 1695523801.313077 60 49.7 3.8 -5.73
689 1695523801.313077 61 91.5 -3.6 -5.79
690 1695523801.313077 63 90.5 -8.7 10.23
691 1695523801.515704 0 166.1 -7 -5.77
692 1695523801.515704 3 38.4 -8.1 -5.75
693 1695523801.515704 4 145 -8.2 -5.78
694 1695523801.515704 5 48.7 -12.6 -5.76
695 1695523801.515704 6 12.8 -34.9 -4.91
696 1695523801.515704 10 105.6 -5.1 -5.84
697 1695523801.515704 12 26.8 -1.9 -0.02
698 1695523801.515704 13 15.7 23.5 -5.34
699 1695523801.515704 14 68.5 -0.5 -5.8
700 1695523801.515704 16 24.2 -19.6 -5.59
701 1695523801.515704 17 92.5 -6.3 10.21
702 1695523801.515704 19 53.7 8.2 -5.73
703 1695523801.515704 21 27.1 11.4 -5.71
704 1695523801.515704 22 97.8 -4.1 -5.82
705 1695523801.515704 24 37.2 5.7 -5.73
706 1695523801.515704 28 176.5 -7.9 -5.78
707 1695523801.515704 30 59.3 -9.7 0.42
708 1695523801.515704 33 145.5 -5.2 -5.81
709 1695523801.515704 34 18.8 -24.4 -5.48
710 1695523801.515704 35 9.8 40.6 -4.31
711 1695523801.515704 36 32.4 -15.4 -5.72
712 1695523801.515704 42 21.5 16 -5.59
713 1695523801.515704 46 92.3 -1.7 10.23
714 1695523801.515704 47 114.9 7.1 -5.77
715 1695523801.515704 52 80.5 -2.9 -5.87
716 1695523801.515704 53 92.6 4.5 10.26
717 1695523801.515704 54 52.5 1.8 -5.75
718 1695523801.515704 55 43.5 -12.7 -5.73
719 1695523801.515704 56 158.9 -6.2 -5.77
720 1695523801.717299 0 164.9 -7.1 -5.83
721 1695523801.717299 1 37.8 -2.7 -5.73
722 1695523801.717299 4 143.9 -7.9 -5.78
723 1695523801.717299 5 47.5 -13.1 -5.76
724 1695523801.717299 6 11.7 -39.6 -4.88
725 1695523801.717299 7 112.4 -4.4 -5.84
726 1695523801.717299 10 104.4 -5 -5.87
727 1695523801.717299 12 26.9 -2 -0.05
728 1695523801.717299 13 14.4 26.6 -5.23
729 1695523801.717299 14 67.4 -0.7 -5.84
730 1695523801.717299 16 23.2 -20 -5.61
731 1695523801.717299 17 94.5 -6.3 10.22
732 1695523801.717299 18 37.8 -7.3 -5.73
733 1695523801.717299 21 20.5 15.8 -5.62
734 1695523801.717299 24 36 6.1 -5.8
735 1695523801.717299 27 170.4 -3.6 -5.83
736 1695523801.717299 28 175.3 -8.2 -5.8
737 1695523801.717299 29 96.8 -4.6 -5.85
738 1695523801.717299 30 59.4 -9.6 0.42
739 1695523801.717299 33 144.2 -5.2 -5.88
740 1695523801.717299 34 17.4 -24.6 -5.41
741 1695523801.717299 35 9 46 -4.05
742 1695523801.717299 36 30.9 -16.5 -5.71
743 1695523801.717299 40 170.4 1.9 -5.83
744 1695523801.717299 42 20.5 16.1 -5.59
745 1695523801.717299 45 29.4 9.6 -5.73
746 1695523801.717299 47 113.8 7.1 -5.84
747 1695523801.717299 49 32.3 8.6 -5.72
748 1695523801.717299 52 79.5 -3.1 -5.87
749 1695523801.717299 54 51.1 1.8 -5.82
750 1695523801.717299 55 41.6 -12 -5.73
751 1695523801.717299 58 52.8 13.9 -5.8
752 1695523801.717299 62 52.8 10.6 -5.8
753 1695523801.924112 0 163.9 -7.7 -5.89
754 1695523801.924112 2 156.2 -5.6 -5.85
755 1695523801.924112 4 142.7 -7.6 -5.84
756 1695523801.924112 5 46.4 -13.1 -5.76
757 1695523801.924112 6 10.7 -41.4 -4.85
758 1695523801.924112 8 169.7 -2.1 -5.85
759 1695523801.924112 10 103.2 -4.7 -5.87
760 1695523801.924112 12 26.9 -2.2 -0.07
761 1695523801.924112 13 8.2 51.1 -3.73
762 1695523801.924112 14 66.3 -0.9 -5.89
763 1695523801.924112 15 81.1 -0.5 -5.84
764 1695523801.924112 16 22.1 -21.6 -5.68
765 1695523801.924112 17 96.6 -6.2 10.23
766 1695523801.924112 20 142.7 -5.7 -5.81
767 1695523801.924112 21 19 17.7 -5.56
768 1695523801.924112 24 34.6 6.7 -5.8
769 1695523801.924112 25 152.4 -9.9 -5.84
770 1695523801.924112 28 174.2 -8.2 -5.87
771 1695523801.924112 29 95.8 -4.5 -5.85
772 1695523801.924112 30 59.5 -9.7 0.42
773 1695523801.924112 31 152.4 -4.9 -5.84
774 1695523801.924112 32 170 1.6 -5.84
775 1695523801.924112 34 15.6 -28.3 -5.25
776 1695523801.924112 36 29.3 -16.9 -5.7
777 1695523801.924112 37 82 2.1 -5.85
778 1695523801.924112 38 54.3 -11.5 -5.77
779 1695523801.924112 39 51.3 10.1 -5.8
780 1695523801.924112 45 28.3 10.6 -5.73
781 1695523801.924112 47 112.3 7.2 -5.88
782 1695523801.924112 52 78.4 -3.2 -5.87
783 1695523801.924112 54 49.9 2.4 -5.88
784 1695523801.924112 55 39.9 -13.2 -5.75
785 1695523801.924112 60 96.9 4.5 10.29
786 1695523802.124668 0 162.8 -7.6 -5.89
787 1695523802.124668 1 29.1 10.6 32.85
788 1695523802.124668 2 155 -5.4 -5.85
789 1695523802.124668 4 141.6 -7.2 -5.87
790 1695523802.124668 5 45.2 -13.1 -5.76
791 1695523802.124668 6 9.8 -47.1 -4.78
792 1695523802.124668 7 91.7 2.8 -5.86
793 1695523802.124668 10 102 -4.6 -5.87
794 1695523802.124668 12 26.7 -2 -0.09
795 1695523802.124668 14 65.3 -0.3 -5.88
796 1695523802.124668 15 79.3 -0.3 -5.85
797 1695523802.124668 16 20.4 -22.8 -5.63
798 1695523802.124668 17 98.7 -6.6 10.26
799 1695523802.124668 19 160.9 -6.5 -5.85
800 1695523802.124668 21 18 19.4 -5.53
801 1695523802.124668 24 33 6.6 -5.78
802 1695523802.124668 26 90.3 -1.7 -5.86
803 1695523802.124668 27 146.9 -9.4 -5.84
804 1695523802.124668 28 173.1 -8.2 -5.87
805 1695523802.124668 29 94.7 -4.4 -5.85
806 1695523802.124668 30 59.6 -9.7 0.42
807 1695523802.124668 34 14.1 -31 -5.15
808 1695523802.124668 36 27.4 -17.7 -5.67
809 1695523802.124668 38 53 -12.3 -5.77
810 1695523802.124668 40 167.9 0.8 -5.84
811 1695523802.124668 42 10.8 35.9 -4.57
812 1695523802.124668 45 27.2 10.9 -5.72
813 1695523802.124668 52 77.3 -3 -5.87
814 1695523802.124668 53 42.6 5.6 -5.81
815 1695523802.124668 54 48.8 2.2 -5.88
816 1695523802.124668 55 37.9 -13.6 -5.75
817 1695523802.124668 59 89.3 -4.4 -5.86
818 1695523802.326467 2 154 -5.3 -5.85
819 1695523802.326467 4 140.4 -7.1 -5.86
820 1695523802.326467 5 44 -13.2 -5.76
821 1695523802.326467 6 9 -51.2 -4.53
822 1695523802.326467 8 39.1 -9.4 -5.75
823 1695523802.326467 10 100.8 -4.4 -5.87
824 1695523802.326467 12 26.5 -1.7 -0.07
825 1695523802.326467 14 64.2 -0.4 -5.88
826 1695523802.326467 15 77.4 0.1 -5.85
827 1695523802.326467 16 13.1 -35.4 -5.16
828 1695523802.326467 17 100.7 -6.7 10.28
829 1695523802.326467 19 159.8 -6.5 -5.88
830 1695523802.326467 21 16.9 21.4 -5.51
831 1695523802.326467 24 31.5 7.2 -5.78
832 1695523802.326467 25 88.9 -2.1 -5.85
833 1695523802.326467 28 171.9 -8.2 -5.87
834 1695523802.326467 30 59.7 -9.6 0.42
835 1695523802.326467 33 88.7 3.2 -5.86
836 1695523802.326467 36 26.2 -17.9 -5.66
837 1695523802.326467 37 20 -20.3 -5.56
838 1695523802.326467 38 51.7 -12.1 -5.77
839 1695523802.326467 39 45.9 14.1 -25.04
840 1695523802.326467 45 26.1 11.2 -5.72
841 1695523802.326467 52 76.1 -3.3 -5.87
842 1695523802.326467 54 47.8 2.4 -5.88
843 1695523802.326467 55 36 -13.7 -5.75
844 1695523802.326467 58 57.5 1.8 -5.84
845 1695523802.326467 63 12 34.8 -4.9
846 1695523802.537137 1 149.4 -4.4 -5.84
847 1695523802.537137 2 152 -5.1 -5.85
848 1695523802.537137 4 139 -6.9 -5.85
849 1695523802.537137 5 41.8 -13.1 -5.76
850 1695523802.537137 10 99.3 -4.2 -5.87
851 1695523802.537137 12 26.4 -1.6 0.02
852 1695523802.537137 13 103.5 -9.1 10.34
853 1695523802.537137 14 62.9 -0.6 -5.88
854 1695523802.537137 15 75.4 0 -5.85
855 1695523802.537137 16 11.7 -36.8 -5.13
856 1695523802.537137 17 103.3 -6.8 10.29
857 1695523802.537137 18 171.9 -3.7 -5.83
858 1695523802.537137 19 158.4 -6.5 -5.87
859 1695523802.537137 21 15.5 22.8 -5.45
860 1695523802.537137 24 30.1 8.1 -5.76
861 1695523802.537137 28 169.7 -7.9 -5.86
862 1695523802.537137 29 153.9 -9.9 -5.83
863 1695523802.537137 30 59.8 -9.6 0.42
864 1695523802.537137 34 13.3 42.8 -4.07
865 1695523802.537137 36 24 -19.2 -5.62
866 1695523802.537137 37 18.3 -23.2 -5.51
867 1695523802.537137 38 49.6 -12.2 -5.78
868 1695523802.537137 42 171.9 4.1 -5.83
869 1695523802.537137 45 24.2 12.1 -5.7
870 1695523802.537137 46 81.7 -4.7 -5.86
871 1695523802.537137 47 108.3 -4 -5.86
872 1695523802.537137 54 46.3 3.1 -5.87
873 1695523802.537137 55 34.2 -14.9 -5.75
874 1695523802.537137 59 92.1 -3.8 -5.84
875 1695523802.537137 63 10.7 39.6 -4.7
876 1695523802.731233 0 54.4 15.1 -5.82
877 1695523802.731233 2 151.1 -5.1 -5.85
878 1695523802.731233 4 138.1 -6.9 -5.84
879 1695523802.731233 5 40.3 -13.2 -5.76
880 1695523802.731233 10 98.4 -4.1 -5.87
881 1695523802.731233 12 26.4 -1.6 0.06
882 1695523802.731233 14 62.1 -0.6 -5.88
883 1695523802.731233 16 11.1 -40.3 -5.11
884 1695523802.731233 17 104.8 -6.7 10.3
885 1695523802.731233 19 157.6 -6.3 -5.87
886 1695523802.731233 21 14.8 24.6 -5.4
887 1695523802.731233 23 55 8.1 -5.8
888 1695523802.731233 24 29.4 8.6 -5.76
889 1695523802.731233 28 168.3 -7.6 -5.86
890 1695523802.731233 30 59.9 -9.6 0.42
891 1695523802.731233 35 85.4 -1.7 -5.86
892 1695523802.731233 36 17.4 -25.7 -5.42
893 1695523802.731233 37 17.4 -25.1 -5.5
894 1695523802.731233 38 48.6 -12.4 -5.78
895 1695523802.731233 44 54.4 11.9 -5.82
896 1695523802.731233 45 22.8 13.3 -5.67
897 1695523802.731233 47 107.1 -3.9 -5.86
898 1695523802.731233 49 118.7 7.7 -5.77
899 1695523802.731233 50 134.8 -4.6 -5.85
900 1695523802.731233 53 166.4 3.3 -5.83
901 1695523802.731233 54 45.4 3.8 -5.85
902 1695523802.731233 55 32.8 -15.1 -5.73
903 1695523802.731233 61 145.8 5.9 -6.42
904 1695523802.731233 62 163.2 -7.4 -5.84
905 1695523802.731233 63 10.1 42.1 -4.7
906 1695523802.939548 1 24.9 -18.7 -5.63
907 1695523802.939548 4 136.7 -6.6 -5.83
908 1695523802.939548 5 38 -14.3 -5.75
909 1695523802.939548 7 92.4 -3.2 -5.84
910 1695523802.939548 10 96.5 -4.1 -5.87
911 1695523802.939548 12 26.7 -2.2 0.12
912 1695523802.939548 14 60.6 -0.2 -5.87
913 1695523802.939548 16 10 -47.6 -4.97
914 1695523802.939548 17 107.4 -6.7 10.3
915 1695523802.939548 18 76.4 0.4 -5.85
916 1695523802.939548 19 156.3 -6.6 -5.86
917 1695523802.939548 20 37.8 6.2 -5.74
918 1695523802.939548 21 13.6 26.3 -5.32
919 1695523802.939548 22 162.8 1.1 -5.83
920 1695523802.939548 24 28.2 9.4 -5.76
921 1695523802.939548 25 92.3 2.4 -5.84
922 1695523802.939548 28 166.9 -7.7 -5.84
923 1695523802.939548 30 60 -9.6 0.42
924 1695523802.939548 31 154.9 -5.3 -5.83
925 1695523802.939548 32 105.8 -3.9 -5.86
926 1695523802.939548 33 112.5 -4.9 -5.84
927 1695523802.939548 35 83.9 -2.1 -5.86
928 1695523802.939548 36 16 -28.7 -5.43
929 1695523802.939548 38 47.3 -13.1 -5.77
930 1695523802.939548 42 107.8 -4.8 10.38
931 1695523802.939548 45 20.8 15.1 -5.62
932 1695523802.939548 51 149 -4.8 -5.84
933 1695523802.939548 52 144.7 -8.6 -5.81
934 1695523802.939548 54 43.9 4.3 -5.85
935 1695523802.939548 55 30.4 -16.7 -5.7
936 1695523802.939548 56 107.6 -9 10.38
937 1695523802.939548 57 52.8 2.3 -5.82
938 1695523802.939548 63 9.1 46.3 -4.48
939 1695523803.141233 1 23.3 -19.8 -5.59
940 1695523803.141233 2 111 -4.8 -5.84
941 1695523803.141233 4 135.5 -6.6 -5.81
942 1695523803.141233 5 36.3 -14.6 -5.73
943 1695523803.141233 9 75.7 -4.2 -5.84
944 1695523803.141233 10 94.6 -4.1 -5.87
945 1695523803.141233 11 53.6 7.8 -5.8
946 1695523803.141233 12 26.7 -2.3 0.17
947 1695523803.141233 14 59.3 0 -5.87
948 1695523803.141233 15 132.9 -5 -5.84
949 1695523803.141233 16 9.1 -51.1 -4.85
950 1695523803.141233 17 109.5 -6.6 10.3
951 1695523803.141233 19 155.3 -7.1 -5.84
952 1695523803.141233 20 36.2 6.4 -5.75
953 1695523803.141233 21 12.4 29.9 -5.18
954 1695523803.141233 23 153 -6.2 -5.83
955 1695523803.141233 24 27.1 10.2 -5.74
956 1695523803.141233 25 91.3 2.3 -5.84
957 1695523803.141233 28 165.9 -7.9 -5.83
958 1695523803.141233 30 60.1 -9.9 0.42
959 1695523803.141233 34 75.9 0.6 -5.85
960 1695523803.141233 35 82.6 -2.7 -5.86
961 1695523803.141233 36 14.8 -30.2 -5.4
962 1695523803.141233 37 36.8 0.1 -5.72
963 1695523803.141233 38 46.3 -12.6 -5.77
964 1695523803.141233 45 19.7 16.4 -5.62
965 1695523803.141233 50 36.8 -9.4 -5.72
966 1695523803.141233 51 147.9 -5.1 -5.84
967 1695523803.141233 52 143.2 -8.4 -5.81
968 1695523803.141233 53 36.8 -4.7 -5.72
969 1695523803.141233 54 42.9 4.6 -5.85
970 1695523803.141233 55 29 -16.9 -5.68
971 1695523803.141233 57 51.7 2.2 -5.82
972 1695523803.141233 59 75 4.9 -5.85
973 1695523803.141233 61 57.4 -11.6 -5.77
974 1695523803.141233 63 8.3 51.1 -4.21
975 1695523803.345147 1 21.6 -21.9 -5.56
976 1695523803.345147 2 109.5 -4.9 -5.84
977 1695523803.345147 4 134.4 -6.9 -5.81
978 1695523803.345147 5 35.3 -15.4 -5.73
979 1695523803.345147 8 112 -9.9 10.29
980 1695523803.345147 9 74.7 -3.7 -5.86
981 1695523803.345147 10 92.7 -4.1 -5.86
982 1695523803.345147 12 26.5 -2.5 0.24
983 1695523803.345147 14 58 -0.3 -5.87
984 1695523803.345147 15 131.7 -5 -5.84
985 1695523803.345147 17 111.6 -6.7 10.31
986 1695523803.345147 19 154.2 -7.2 -5.84
987 1695523803.345147 20 34.1 7.2 -5.77
988 1695523803.345147 21 11 39.4 -4.71
989 1695523803.345147 24 26.1 12.2 -5.73
990 1695523803.345147 25 90.2 2.1 -5.84
991 1695523803.345147 27 35.7 2.4 -5.72
992 1695523803.345147 28 164.8 -8.1 -5.82
993 1695523803.345147 30 60.2 -9.8 0.42
994 1695523803.345147 35 81.6 -3 -5.86
995 1695523803.345147 36 13.6 -33.8 -5.34
996 1695523803.345147 38 44.6 -13.6 -5.76
997 1695523803.345147 39 75.4 -0.4 -5.85
998 1695523803.345147 43 105.5 -4.4 -5.85
999 1695523803.345147 45 18.4 18.2 -5.59
1000 1695523803.345147 47 112.5 1 10.34
1001 1695523803.345147 48 154.4 -6.4 -5.84
1002 1695523803.345147 49 172.4 -9.4 -5.77
1003 1695523803.345147 51 146.9 -5.2 -5.84
1004 1695523803.345147 52 141.9 -8.4 -5.81
1005 1695523803.345147 54 41.4 4.4 -5.85
1006 1695523803.345147 55 27.3 -18.4 -5.66
1007 1695523803.345147 57 50.4 2.2 -5.84
1008 1695523803.345147 59 73.9 4.6 -5.85
1009 1695523803.345147 61 55.8 -11.9 -5.76
1010 1695523803.345147 63 7.6 51.1 -3.87
1011 1695523803.547224 1 19.8 -22.4 -5.52
1012 1695523803.547224 2 107.8 -5.1 -5.84
1013 1695523803.547224 4 133.2 -7.1 -5.81
1014 1695523803.547224 5 33.6 -16.5 -5.71
1015 1695523803.547224 7 103 -4.9 -5.87
1016 1695523803.547224 9 73.5 -3.6 -5.86
1017 1695523803.547224 10 91.4 -4.3 -5.86
1018 1695523803.547224 12 26.6 -2.9 0.27
1019 1695523803.547224 13 165.7 -1.7 -5.83
1020 1695523803.547224 14 57 -0.4 -5.87
1021 1695523803.547224 17 113.6 -6.8 10.3
1022 1695523803.547224 19 153.2 -7.4 -5.84
1023 1695523803.547224 20 32.1 7.4 -5.8
1024 1695523803.547224 21 10 42.7 -4.5
1025 1695523803.547224 24 25.1 11.9 -5.74
1026 1695523803.547224 28 163.8 -8.2 -5.82
1027 1695523803.547224 30 60.3 -9.8 0.42
1028 1695523803.547224 33 116.2 -6.6 -5.84
1029 1695523803.547224 35 80.5 -3.1 -5.86
1030 1695523803.547224 36 12.5 -36.1 -5.16
1031 1695523803.547224 38 42.7 -14.3 -5.75
1032 1695523803.547224 42 73.5 0.4 -5.87
1033 1695523803.547224 45 17 19.2 -5.57
1034 1695523803.547224 48 152.6 -6.3 -5.84
1035 1695523803.547224 51 145.9 -5.3 -5.84
1036 1695523803.547224 52 140.8 -8.5 -5.81
1037 1695523803.547224 54 40.2 4.8 -5.85
1038 1695523803.547224 55 25.4 -19.4 -5.64
1039 1695523803.547224 57 48.7 2.1 -5.9
1040 1695523803.547224 59 72.8 4.6 -5.85
1041 1695523803.547224 61 53.9 -12.5 -5.76
1042 1695523803.751794 0 78.2 -1.2 -5.87
1043 1695523803.751794 1 18 -25.4 -5.45
1044 1695523803.751794 2 106.3 -5.2 -5.84
1045 1695523803.751794 4 132.1 -7.1 -5.83
1046 1695523803.751794 5 31.7 -17.2 -5.71
1047 1695523803.751794 6 132.4 -5.3 -5.86
1048 1695523803.751794 10 89.7 -4.2 -5.86
1049 1695523803.751794 11 59 -13.4 -5.79
1050 1695523803.751794 12 26.7 -2.9 0.31
1051 1695523803.751794 14 55.8 -0.2 -5.87
1052 1695523803.751794 17 115.7 -6.6 10.3
1053 1695523803.751794 19 152.2 -7.6 -5.84
1054 1695523803.751794 20 30.8 7.3 -5.84
1055 1695523803.751794 21 9.2 49.1 -4.43
1056 1695523803.751794 24 23.6 12 -5.73
1057 1695523803.751794 28 162.3 -8.2 -5.82
1058 1695523803.751794 30 60.4 -9.8 0.42
1059 1695523803.751794 31 67.5 -1.2 -5.88
1060 1695523803.751794 35 72.1 -3.5 -5.87
1061 1695523803.751794 36 11.5 -40.8 -5.04
1062 1695523803.751794 38 41.1 -14.6 -5.75
1063 1695523803.751794 42 71.9 0.7 -5.87
1064 1695523803.751794 45 16 19.8 -5.55
1065 1695523803.751794 48 151.3 -6.4 -5.84
1066 1695523803.751794 51 144.6 -5.4 -5.85
1067 1695523803.751794 52 139.7 -8.6 -5.81
1068 1695523803.751794 54 38.8 5.1 -5.84
1069 1695523803.751794 55 24.4 -20.6 -5.66
1070 1695523803.751794 57 47.2 2.3 -5.89
1071 1695523803.751794 58 172.7 -5.3 -5.85
1072 1695523803.751794 59 71.2 4.4 -5.87
1073 1695523803.751794 61 52 -12.6 -5.76
1074 1695523803.953287 0 76.5 -1.1 -5.89
1075 1695523803.953287 1 16.2 -28 -5.4
1076 1695523803.953287 2 104.5 -5.1 -5.91
1077 1695523803.953287 4 131 -7.4 -5.84
1078 1695523803.953287 5 30 -17.9 -5.72
1079 1695523803.953287 8 113.7 -6.8 -5.86
1080 1695523803.953287 9 10.9 33.8 -4.89
1081 1695523803.953287 10 87.8 -4.6 -5.86
1082 1695523803.953287 12 26.7 -3.1 0.34
1083 1695523803.953287 13 118.5 2.2 10.17
1084 1695523803.953287 14 54.4 0 -5.87
1085 1695523803.953287 17 117.8 -6.4 10.3
1086 1695523803.953287 18 100 -4.5 -5.88
1087 1695523803.953287 19 151.1 -7.7 -5.85
1088 1695523803.953287 20 28.5 8.3 -5.81
1089 1695523803.953287 21 8.5 51.1 -4.2
1090 1695523803.953287 24 14.8 23.6 -5.41
1091 1695523803.953287 25 100 6.6 -5.88
1092 1695523803.953287 28 160.8 -8.3 -5.84
1093 1695523803.953287 31 66.3 -1.4 -5.88
1094 1695523803.953287 33 12.6 -32.6 -5.05
1095 1695523803.953287 35 71 -3.6 -5.87
1096 1695523803.953287 36 10.6 -46.3 -4.99
1097 1695523803.953287 38 39.5 -14.9 -5.75
1098 1695523803.953287 39 20.8 15.7 -5.71
1099 1695523803.953287 40 37.3 -11.9 -5.75
1100 1695523803.953287 43 72.1 1.9 -5.89
1101 1695523803.953287 47 128.1 -5.1 -5.87
